JOB START
Fri Aug  1 00:32:23 EDT 2025
WORKING DIRECTORY
/ihome/pgivi/jow243/code/qml4pde/CMLmodels
Modules loaded.
Python env loaded.
/ihome/pgivi/jow243/.conda/envs/mlenv/bin/python
Calling training script...
importing python packages
Input detected for number of grid points.
==> NGRID has been set to 15
Data paths: mesh_141.npy tmesh_141.npy solution_trajectories_141.npy
DOWNSAMPLE has been hardcoded to 10. Make sure your dataset has been generated on your desired mesh.
Equivalent Number of Operations on State Vector
End of epoch 0, avg loss: 68.50156
End of epoch 10, avg loss: 0.13540
End of epoch 20, avg loss: 0.12746
End of epoch 30, avg loss: 0.12279
End of epoch 40, avg loss: 0.14544
End of epoch 50, avg loss: 0.12131
End of epoch 60, avg loss: 0.12054
End of epoch 70, avg loss: 0.12034
End of epoch 80, avg loss: 0.12070
End of epoch 90, avg loss: 0.12139
End of epoch 100, avg loss: 0.12143
End of epoch 110, avg loss: 0.12105
End of epoch 120, avg loss: 0.12114
End of epoch 130, avg loss: 0.12058
End of epoch 140, avg loss: 0.12099
End of epoch 150, avg loss: 0.11982
End of epoch 160, avg loss: 0.12136
End of epoch 170, avg loss: 0.12205
End of epoch 180, avg loss: 0.12136
End of epoch 190, avg loss: 0.12178
End of epoch 200, avg loss: 0.12119
End of epoch 210, avg loss: 0.12121
End of epoch 220, avg loss: 0.12199
End of epoch 230, avg loss: 0.12124
End of epoch 240, avg loss: 0.12104
End of epoch 250, avg loss: 0.12126
End of epoch 260, avg loss: 0.12115
End of epoch 270, avg loss: 0.12110
End of epoch 280, avg loss: 0.12031
End of epoch 290, avg loss: 0.12145
End of epoch 300, avg loss: 0.12200
End of epoch 310, avg loss: 0.12048
End of epoch 320, avg loss: 0.12087
End of epoch 330, avg loss: 0.12540
End of epoch 340, avg loss: 0.12006
End of epoch 350, avg loss: 0.12167
End of epoch 360, avg loss: 0.12025
End of epoch 370, avg loss: 0.12095
End of epoch 380, avg loss: 0.12117
End of epoch 390, avg loss: 0.12207
End of epoch 400, avg loss: 0.12064
End of epoch 410, avg loss: 0.11885
End of epoch 420, avg loss: 0.12109
End of epoch 430, avg loss: 0.12071
End of epoch 440, avg loss: 0.13028
End of epoch 450, avg loss: 0.12200
End of epoch 460, avg loss: 0.11998
End of epoch 470, avg loss: 0.12063
End of epoch 480, avg loss: 0.12056
End of epoch 490, avg loss: 0.12015
End of epoch 500, avg loss: 0.12193
End of epoch 510, avg loss: 0.12044
End of epoch 520, avg loss: 0.12161
End of epoch 530, avg loss: 0.12117
End of epoch 540, avg loss: 0.12101
End of epoch 550, avg loss: 0.12089
End of epoch 560, avg loss: 0.12111
End of epoch 570, avg loss: 0.12662
End of epoch 580, avg loss: 0.13104
End of epoch 590, avg loss: 0.12113
End of epoch 600, avg loss: 0.12052
End of epoch 610, avg loss: 0.12128
End of epoch 620, avg loss: 0.12003
End of epoch 630, avg loss: 0.12044
End of epoch 640, avg loss: 0.11988
End of epoch 650, avg loss: 0.12087
End of epoch 660, avg loss: 0.12126
End of epoch 670, avg loss: 0.11985
End of epoch 680, avg loss: 0.12131
End of epoch 690, avg loss: 0.12057
End of epoch 700, avg loss: 0.12131
End of epoch 710, avg loss: 0.17037
End of epoch 720, avg loss: 0.05805
End of epoch 730, avg loss: 0.04627
End of epoch 740, avg loss: 0.03958
End of epoch 750, avg loss: 0.03816
