JOB START
Mon Aug 11 21:07:11 EDT 2025
WORKING DIRECTORY
/ihome/pgivi/jow243/code/qml4pde/QMLmodels
Modules loaded.
Python env loaded.
/ihome/pgivi/jow243/.conda/envs/mlenv/bin/python
Calling training script...
importing python packages
Input detected for number of grid points.
==> NQUBITS has been set to 11
Diff method selected: backprop
==> NQUBITS has been set to 11
Data paths: mesh_101.npy tmesh_101.npy solution_trajectories_101.npy
DOWNSAMPLE has been hardcoded to 10. Make sure your dataset has been generated on your desired mesh.
Training dataset: burgers
shape_of_branch_params=(11, 11, 3), shape_of_trunk_params=(11, 11)
Begin training loop...
End of epoch 0, avg loss: 0.37987
End of epoch 10, avg loss: 0.19422
End of epoch 20, avg loss: 0.12920
End of epoch 30, avg loss: 0.10685
End of epoch 40, avg loss: 0.09673
End of epoch 50, avg loss: 0.09063
End of epoch 60, avg loss: 0.08647
End of epoch 70, avg loss: 0.08279
End of epoch 80, avg loss: 0.07964
End of epoch 90, avg loss: 0.07725
End of epoch 100, avg loss: 0.07546
End of epoch 110, avg loss: 0.07415
End of epoch 120, avg loss: 0.07245
End of epoch 130, avg loss: 0.07146
End of epoch 140, avg loss: 0.07060
End of epoch 150, avg loss: 0.06894
End of epoch 160, avg loss: 0.06838
End of epoch 170, avg loss: 0.06853
End of epoch 180, avg loss: 0.06704
End of epoch 190, avg loss: 0.06683
End of epoch 200, avg loss: 0.06640
End of epoch 210, avg loss: 0.06594
End of epoch 220, avg loss: 0.06464
End of epoch 230, avg loss: 0.06480
End of epoch 240, avg loss: 0.06459
End of epoch 250, avg loss: 0.06421
End of epoch 260, avg loss: 0.06346
End of epoch 270, avg loss: 0.06333
End of epoch 280, avg loss: 0.06326
End of epoch 290, avg loss: 0.06271
End of epoch 300, avg loss: 0.06262
End of epoch 310, avg loss: 0.06172
End of epoch 320, avg loss: 0.06132
End of epoch 330, avg loss: 0.06094
End of epoch 340, avg loss: 0.05976
End of epoch 350, avg loss: 0.06008
End of epoch 360, avg loss: 0.05959
End of epoch 370, avg loss: 0.05925
End of epoch 380, avg loss: 0.05880
End of epoch 390, avg loss: 0.05846
End of epoch 400, avg loss: 0.05879
End of epoch 410, avg loss: 0.05671
End of epoch 420, avg loss: 0.05752
End of epoch 430, avg loss: 0.05744
End of epoch 440, avg loss: 0.05731
End of epoch 450, avg loss: 0.05751
End of epoch 460, avg loss: 0.05655
End of epoch 470, avg loss: 0.05626
End of epoch 480, avg loss: 0.05649
End of epoch 490, avg loss: 0.05641
End of epoch 500, avg loss: 0.05673
End of epoch 510, avg loss: 0.05604
End of epoch 520, avg loss: 0.05631
End of epoch 530, avg loss: 0.05611
End of epoch 540, avg loss: 0.05615
End of epoch 550, avg loss: 0.05629
End of epoch 560, avg loss: 0.05571
End of epoch 570, avg loss: 0.05509
End of epoch 580, avg loss: 0.05573
End of epoch 590, avg loss: 0.05530
End of epoch 600, avg loss: 0.05565
End of epoch 610, avg loss: 0.05527
End of epoch 620, avg loss: 0.05482
End of epoch 630, avg loss: 0.05476
End of epoch 640, avg loss: 0.05429
End of epoch 650, avg loss: 0.05513
End of epoch 660, avg loss: 0.05480
